,Código Departamento,Nombre Departamento,Área,Año,Viviendas
116,54,Norte De Santander,Total,1995,244094
149,54,Norte De Santander,Total,1996,251142
182,54,Norte De Santander,Total,1997,257962
215,54,Norte De Santander,Total,1998,264582
248,54,Norte De Santander,Total,1999,270987
281,54,Norte De Santander,Total,2000,277213
314,54,Norte De Santander,Total,2001,283241
347,54,Norte De Santander,Total,2002,289122
380,54,Norte De Santander,Total,2003,294890
413,54,Norte De Santander,Total,2004,300705
446,54,Norte De Santander,Total,2005,306772
479,54,Norte De Santander,Total,2006,312953
512,54,Norte De Santander,Total,2007,319337
545,54,Norte De Santander,Total,2008,325909
578,54,Norte De Santander,Total,2009,332714
611,54,Norte De Santander,Total,2010,339752
644,54,Norte De Santander,Total,2011,346957
677,54,Norte De Santander,Total,2012,354353
710,54,Norte De Santander,Total,2013,362028
743,54,Norte De Santander,Total,2014,369934
776,54,Norte De Santander,Total,2015,378342
809,54,Norte De Santander,Total,2016,388403
842,54,Norte De Santander,Total,2017,400593
875,54,Norte De Santander,Total,2018,418508
908,54,Norte De Santander,Total,2019,442310
941,54,Norte De Santander,Total,2020,462636
974,54,Norte De Santander,Total,2021,476010
1007,54,Norte De Santander,Total,2022,486377
1040,54,Norte De Santander,Total,2023,496706
1073,54,Norte De Santander,Total,2024,507373
17,54,Norte De Santander,Total,Unnamed: 0,51
51,63,Quindío,Total,1993,111382
84,63,Quindío,Total,1994,114879
117,63,Quindío,Total,1995,118252
150,63,Quindío,Total,1996,121472
183,63,Quindío,Total,1997,124507
216,63,Quindío,Total,1998,127357
249,63,Quindío,Total,1999,129954
282,63,Quindío,Total,2000,132313
315,63,Quindío,Total,2001,134444
348,63,Quindío,Total,2002,136391
381,63,Quindío,Total,2003,138226
414,63,Quindío,Total,2004,140024
447,63,Quindío,Total,2005,141937
480,63,Quindío,Total,2006,143816
513,63,Quindío,Total,2007,145770
546,63,Quindío,Total,2008,147792
579,63,Quindío,Total,2009,149957
612,63,Quindío,Total,2010,152389
645,63,Quindío,Total,2011,155040
678,63,Quindío,Total,2012,157788
711,63,Quindío,Total,2013,160581
744,63,Quindío,Total,2014,163558
777,63,Quindío,Total,2015,166864
810,63,Quindío,Total,2016,170547
843,63,Quindío,Total,2017,174623
876,63,Quindío,Total,2018,179383
909,63,Quindío,Total,2019,184002
942,63,Quindío,Total,2020,188702
975,63,Quindío,Total,2021,193455
1008,63,Quindío,Total,2022,198549
1041,63,Quindío,Total,2023,203940
1074,63,Quindío,Total,2024,209250
18,63,Quindío,Total,Unnamed: 0,54
52,66,Risaralda,Total,1993,171547
85,66,Risaralda,Total,1994,177922
118,66,Risaralda,Total,1995,184130
151,66,Risaralda,Total,1996,190159
184,66,Risaralda,Total,1997,195927
217,66,Risaralda,Total,1998,201387
250,66,Risaralda,Total,1999,206509
283,66,Risaralda,Total,2000,211282
316,66,Risaralda,Total,2001,215697
349,66,Risaralda,Total,2002,219835
382,66,Risaralda,Total,2003,223767
415,66,Risaralda,Total,2004,227742
448,66,Risaralda,Total,2005,231919
481,66,Risaralda,Total,2006,236219
514,66,Risaralda,Total,2007,240629
547,66,Risaralda,Total,2008,245064
580,66,Risaralda,Total,2009,249680
613,66,Risaralda,Total,2010,254731
646,66,Risaralda,Total,2011,260102
679,66,Risaralda,Total,2012,265539
712,66,Risaralda,Total,2013,270943
745,66,Risaralda,Total,2014,276552
778,66,Risaralda,Total,2015,282593
811,66,Risaralda,Total,2016,289170
844,66,Risaralda,Total,2017,296226
877,66,Risaralda,Total,2018,304201
910,66,Risaralda,Total,2019,311688
943,66,Risaralda,Total,2020,319264
976,66,Risaralda,Total,2021,326803
1009,66,Risaralda,Total,2022,334877
1042,66,Risaralda,Total,2023,343337
1075,66,Risaralda,Total,2024,351557
19,66,Risaralda,Total,Unnamed: 0,57
53,68,Santander,Total,1993,324143
86,68,Santander,Total,1994,335264
119,68,Santander,Total,1995,346359
152,68,Santander,Total,1996,357411
185,68,Santander,Total,1997,368316
218,68,Santander,Total,1998,379103
251,68,Santander,Total,1999,389697
284,68,Santander,Total,2000,400163
317,68,Santander,Total,2001,410490
350,68,Santander,Total,2002,420759
383,68,Santander,Total,2003,431067
416,68,Santander,Total,2004,441618
449,68,Santander,Total,2005,452459
482,68,Santander,Total,2006,463978
515,68,Santander,Total,2007,476010
548,68,Santander,Total,2008,488593
581,68,Santander,Total,2009,501802
614,68,Santander,Total,2010,515686
647,68,Santander,Total,2011,530166
680,68,Santander,Total,2012,545161
713,68,Santander,Total,2013,560747
746,68,Santander,Total,2014,576943
779,68,Santander,Total,2015,593998
812,68,Santander,Total,2016,612536
845,68,Santander,Total,2017,632857
878,68,Santander,Total,2018,656966
911,68,Santander,Total,2019,680954
944,68,Santander,Total,2020,703281
977,68,Santander,Total,2021,721881
1010,68,Santander,Total,2022,738798
1043,68,Santander,Total,2023,755672
1076,68,Santander,Total,2024,774239
20,68,Santander,Total,Unnamed: 0,60
54,70,Sucre,Total,1993,129971
87,70,Sucre,Total,1994,133430
120,70,Sucre,Total,1995,136900
153,70,Sucre,Total,1996,140351
186,70,Sucre,Total,1997,143763
219,70,Sucre,Total,1998,147160
252,70,Sucre,Total,1999,150503
285,70,Sucre,Total,2000,153840
318,70,Sucre,Total,2001,157157
351,70,Sucre,Total,2002,160420
384,70,Sucre,Total,2003,163656
417,70,Sucre,Total,2004,166895
450,70,Sucre,Total,2005,170260
483,70,Sucre,Total,2006,173690
516,70,Sucre,Total,2007,177327
549,70,Sucre,Total,2008,181156
582,70,Sucre,Total,2009,185224
615,70,Sucre,Total,2010,189549
648,70,Sucre,Total,2011,194150
681,70,Sucre,Total,2012,198996
714,70,Sucre,Total,2013,204145
747,70,Sucre,Total,2014,209603
780,70,Sucre,Total,2015,215475
813,70,Sucre,Total,2016,222009
846,70,Sucre,Total,2017,229357
879,70,Sucre,Total,2018,238287
912,70,Sucre,Total,2019,247433
945,70,Sucre,Total,2020,256093
978,70,Sucre,Total,2021,263502
1011,70,Sucre,Total,2022,270338
1044,70,Sucre,Total,2023,277167
1077,70,Sucre,Total,2024,283229
21,70,Sucre,Total,Unnamed: 0,63
55,73,Tolima,Total,1993,265259
88,73,Tolima,Total,1994,272113
121,73,Tolima,Total,1995,278775
154,73,Tolima,Total,1996,285174
187,73,Tolima,Total,1997,291349
220,73,Tolima,Total,1998,297282
253,73,Tolima,Total,1999,302916
286,73,Tolima,Total,2000,308332
319,73,Tolima,Total,2001,313552
352,73,Tolima,Total,2002,318585
385,73,Tolima,Total,2003,323533
418,73,Tolima,Total,2004,328507
451,73,Tolima,Total,2005,333595
484,73,Tolima,Total,2006,338761
517,73,Tolima,Total,2007,344226
550,73,Tolima,Total,2008,350031
583,73,Tolima,Total,2009,356271
616,73,Tolima,Total,2010,363026
649,73,Tolima,Total,2011,370236
682,73,Tolima,Total,2012,377892
715,73,Tolima,Total,2013,385915
748,73,Tolima,Total,2014,394431
781,73,Tolima,Total,2015,403555
814,73,Tolima,Total,2016,413436
847,73,Tolima,Total,2017,424184
880,73,Tolima,Total,2018,436102
913,73,Tolima,Total,2019,444384
946,73,Tolima,Total,2020,452759
979,73,Tolima,Total,2021,460899
1012,73,Tolima,Total,2022,469041
1045,73,Tolima,Total,2023,477309
1078,73,Tolima,Total,2024,485965
22,73,Tolima,Total,Unnamed: 0,66
56,76,Valle Del Cauca,Total,1993,816339
89,76,Valle Del Cauca,Total,1994,839687
122,76,Valle Del Cauca,Total,1995,862367
155,76,Valle Del Cauca,Total,1996,884273
188,76,Valle Del Cauca,Total,1997,905243
221,76,Valle Del Cauca,Total,1998,925105
254,76,Valle Del Cauca,Total,1999,943796
287,76,Valle Del Cauca,Total,2000,961312
320,76,Valle Del Cauca,Total,2001,977659
353,76,Valle Del Cauca,Total,2002,993086
386,76,Valle Del Cauca,Total,2003,1008319
419,76,Valle Del Cauca,Total,2004,1024038
452,76,Valle Del Cauca,Total,2005,1041529
485,76,Valle Del Cauca,Total,2006,1059427
518,76,Valle Del Cauca,Total,2007,1077974
551,76,Valle Del Cauca,Total,2008,1096702
584,76,Valle Del Cauca,Total,2009,1116390
617,76,Valle Del Cauca,Total,2010,1137969
650,76,Valle Del Cauca,Total,2011,1161259
683,76,Valle Del Cauca,Total,2012,1185637
716,76,Valle Del Cauca,Total,2013,1210604
749,76,Valle Del Cauca,Total,2014,1237000
782,76,Valle Del Cauca,Total,2015,1265698
815,76,Valle Del Cauca,Total,2016,1296918
848,76,Valle Del Cauca,Total,2017,1330278
881,76,Valle Del Cauca,Total,2018,1372515
914,76,Valle Del Cauca,Total,2019,1405940
947,76,Valle Del Cauca,Total,2020,1438396
980,76,Valle Del Cauca,Total,2021,1471231
1013,76,Valle Del Cauca,Total,2022,1506514
1046,76,Valle Del Cauca,Total,2023,1541935
1079,76,Valle Del Cauca,Total,2024,1575669
23,76,Valle Del Cauca,Total,Unnamed: 0,69
57,81,Arauca,Total,1993,37234
90,81,Arauca,Total,1994,38473
123,81,Arauca,Total,1995,39646
156,81,Arauca,Total,1996,40776
189,81,Arauca,Total,1997,41845
222,81,Arauca,Total,1998,42884
255,81,Arauca,Total,1999,43840
288,81,Arauca,Total,2000,44773
321,81,Arauca,Total,2001,45652
354,81,Arauca,Total,2002,46482
387,81,Arauca,Total,2003,47301
420,81,Arauca,Total,2004,48096
453,81,Arauca,Total,2005,48815
486,81,Arauca,Total,2006,49807
519,81,Arauca,Total,2007,50899
552,81,Arauca,Total,2008,52122
585,81,Arauca,Total,2009,53494
618,81,Arauca,Total,2010,55015
651,81,Arauca,Total,2011,56680
684,81,Arauca,Total,2012,58487
717,81,Arauca,Total,2013,60498
750,81,Arauca,Total,2014,62644
783,81,Arauca,Total,2015,65034
816,81,Arauca,Total,2016,67901
849,81,Arauca,Total,2017,71440
882,81,Arauca,Total,2018,76606
915,81,Arauca,Total,2019,82625
948,81,Arauca,Total,2020,87864
981,81,Arauca,Total,2021,91398
1014,81,Arauca,Total,2022,94101
1047,81,Arauca,Total,2023,96775
1080,81,Arauca,Total,2024,100034
24,81,Arauca,Total,Unnamed: 0,72
58,85,Casanare,Total,1993,43815
91,85,Casanare,Total,1994,46182
124,85,Casanare,Total,1995,48626
157,85,Casanare,Total,1996,51138
190,85,Casanare,Total,1997,53699
223,85,Casanare,Total,1998,56314
256,85,Casanare,Total,1999,58938
289,85,Casanare,Total,2000,61590
322,85,Casanare,Total,2001,64280
355,85,Casanare,Total,2002,67008
388,85,Casanare,Total,2003,69823
421,85,Casanare,Total,2004,72721
454,85,Casanare,Total,2005,75748
487,85,Casanare,Total,2006,78958
520,85,Casanare,Total,2007,82308
553,85,Casanare,Total,2008,85744
586,85,Casanare,Total,2009,89323
619,85,Casanare,Total,2010,93059
652,85,Casanare,Total,2011,96911
685,85,Casanare,Total,2012,100920
718,85,Casanare,Total,2013,105105
751,85,Casanare,Total,2014,109496
784,85,Casanare,Total,2015,114186
817,85,Casanare,Total,2016,119241
850,85,Casanare,Total,2017,124736
883,85,Casanare,Total,2018,131013
916,85,Casanare,Total,2019,135706
949,85,Casanare,Total,2020,140104
982,85,Casanare,Total,2021,143846
1015,85,Casanare,Total,2022,147289
1048,85,Casanare,Total,2023,150714
1081,85,Casanare,Total,2024,154853
25,85,Casanare,Total,Unnamed: 0,75
59,86,Putumayo,Total,1993,50110
92,86,Putumayo,Total,1994,51289
125,86,Putumayo,Total,1995,52684
158,86,Putumayo,Total,1996,54136
191,86,Putumayo,Total,1997,55576
224,86,Putumayo,Total,1998,57076
257,86,Putumayo,Total,1999,58615
290,86,Putumayo,Total,2000,60237
323,86,Putumayo,Total,2001,61934
356,86,Putumayo,Total,2002,63726
389,86,Putumayo,Total,2003,65620
422,86,Putumayo,Total,2004,67644
455,86,Putumayo,Total,2005,69406
488,86,Putumayo,Total,2006,71709
521,86,Putumayo,Total,2007,74173
554,86,Putumayo,Total,2008,76807
587,86,Putumayo,Total,2009,79587
620,86,Putumayo,Total,2010,82529
653,86,Putumayo,Total,2011,85462
686,86,Putumayo,Total,2012,88226
719,86,Putumayo,Total,2013,90958
752,86,Putumayo,Total,2014,93797
785,86,Putumayo,Total,2015,96988
818,86,Putumayo,Total,2016,100804
851,86,Putumayo,Total,2017,105423
884,86,Putumayo,Total,2018,111070
917,86,Putumayo,Total,2019,114381
950,86,Putumayo,Total,2020,117885
983,86,Putumayo,Total,2021,121523
1016,86,Putumayo,Total,2022,125372
1049,86,Putumayo,Total,2023,129418
1082,86,Putumayo,Total,2024,133814
26,86,Putumayo,Total,Unnamed: 0,78
60,88,"Archipiélago De San Andrés, Providencia Y",Total,1993,13383
93,88,"Archipiélago De San Andrés, Providencia Y",Total,1994,13792
126,88,"Archipiélago De San Andrés, Providencia Y",Total,1995,14159
159,88,"Archipiélago De San Andrés, Providencia Y",Total,1996,14502
192,88,"Archipiélago De San Andrés, Providencia Y",Total,1997,14831
225,88,"Archipiélago De San Andrés, Providencia Y",Total,1998,15100
258,88,"Archipiélago De San Andrés, Providencia Y",Total,1999,15360
291,88,"Archipiélago De San Andrés, Providencia Y",Total,2000,15600
324,88,"Archipiélago De San Andrés, Providencia Y",Total,2001,15794
357,88,"Archipiélago De San Andrés, Providencia Y",Total,2002,15967
390,88,"Archipiélago De San Andrés, Providencia Y",Total,2003,16111
423,88,"Archipiélago De San Andrés, Providencia Y",Total,2004,16263
456,88,"Archipiélago De San Andrés, Providencia Y",Total,2005,16411
489,88,"Archipiélago De San Andrés, Providencia Y",Total,2006,16580
522,88,"Archipiélago De San Andrés, Providencia Y",Total,2007,16773
555,88,"Archipiélago De San Andrés, Providencia Y",Total,2008,16955
588,88,"Archipiélago De San Andrés, Providencia Y",Total,2009,17156
621,88,"Archipiélago De San Andrés, Providencia Y",Total,2010,17378
654,88,"Archipiélago De San Andrés, Providencia Y",Total,2011,17618
687,88,"Archipiélago De San Andrés, Providencia Y",Total,2012,17886
720,88,"Archipiélago De San Andrés, Providencia Y",Total,2013,18182
753,88,"Archipiélago De San Andrés, Providencia Y",Total,2014,18500
786,88,"Archipiélago De San Andrés, Providencia Y",Total,2015,18861
819,88,"Archipiélago De San Andrés, Providencia Y",Total,2016,19273
852,88,"Archipiélago De San Andrés, Providencia Y",Total,2017,19718
885,88,"Archipiélago De San Andrés, Providencia Y",Total,2018,20248
918,88,"Archipiélago De San Andrés, Providencia Y",Total,2019,21049
951,88,"Archipiélago De San Andrés, Providencia Y",Total,2020,21904
984,88,"Archipiélago De San Andrés, Providencia Y",Total,2021,22666
1017,88,"Archipiélago De San Andrés, Providencia Y",Total,2022,23331
1050,88,"Archipiélago De San Andrés, Providencia Y",Total,2023,23942
1083,88,"Archipiélago De San Andrés, Providencia Y",Total,2024,24419
27,88,"Archipiélago De San Andrés, Providencia Y",Total,Unnamed: 0,81
61,91,Amazonas,Total,1993,7834
94,91,Amazonas,Total,1994,8194
127,91,Amazonas,Total,1995,8561
160,91,Amazonas,Total,1996,8891
193,91,Amazonas,Total,1997,9227
226,91,Amazonas,Total,1998,9547
259,91,Amazonas,Total,1999,9847
292,91,Amazonas,Total,2000,10166
325,91,Amazonas,Total,2001,10454
358,91,Amazonas,Total,2002,10743
391,91,Amazonas,Total,2003,11010
424,91,Amazonas,Total,2004,11278
457,91,Amazonas,Total,2005,11565
490,91,Amazonas,Total,2006,11887
523,91,Amazonas,Total,2007,12246
556,91,Amazonas,Total,2008,12601
589,91,Amazonas,Total,2009,12968
622,91,Amazonas,Total,2010,13396
655,91,Amazonas,Total,2011,13836
688,91,Amazonas,Total,2012,14306
721,91,Amazonas,Total,2013,14756
754,91,Amazonas,Total,2014,15252
787,91,Amazonas,Total,2015,15789
820,91,Amazonas,Total,2016,16383
853,91,Amazonas,Total,2017,17035
886,91,Amazonas,Total,2018,17828
919,91,Amazonas,Total,2019,18386
952,91,Amazonas,Total,2020,19004
985,91,Amazonas,Total,2021,19648
1018,91,Amazonas,Total,2022,20344
1051,91,Amazonas,Total,2023,21103
1084,91,Amazonas,Total,2024,21936
28,91,Amazonas,Total,Unnamed: 0,84
62,94,Guainía,Total,1993,3955
95,94,Guainía,Total,1994,4129
128,94,Guainía,Total,1995,4307
161,94,Guainía,Total,1996,4464
194,94,Guainía,Total,1997,4643
227,94,Guainía,Total,1998,4799
260,94,Guainía,Total,1999,4973
293,94,Guainía,Total,2000,5130
326,94,Guainía,Total,2001,5290
359,94,Guainía,Total,2002,5438
392,94,Guainía,Total,2003,5607
425,94,Guainía,Total,2004,5758
458,94,Guainía,Total,2005,5926
491,94,Guainía,Total,2006,6137
524,94,Guainía,Total,2007,6369
557,94,Guainía,Total,2008,6602
590,94,Guainía,Total,2009,6847
623,94,Guainía,Total,2010,7120
656,94,Guainía,Total,2011,7404
689,94,Guainía,Total,2012,7681
722,94,Guainía,Total,2013,7967
755,94,Guainía,Total,2014,8262
788,94,Guainía,Total,2015,8586
821,94,Guainía,Total,2016,8932
854,94,Guainía,Total,2017,9308
887,94,Guainía,Total,2018,9793
920,94,Guainía,Total,2019,10256
953,94,Guainía,Total,2020,10695
986,94,Guainía,Total,2021,11022
1019,94,Guainía,Total,2022,11328
1052,94,Guainía,Total,2023,11638
1085,94,Guainía,Total,2024,12022
29,94,Guainía,Total,Unnamed: 0,87
63,95,Guaviare,Total,1993,11062
96,95,Guaviare,Total,1994,11642
129,95,Guaviare,Total,1995,12190
162,95,Guaviare,Total,1996,12697
195,95,Guaviare,Total,1997,13137
228,95,Guaviare,Total,1998,13537
261,95,Guaviare,Total,1999,13877
294,95,Guaviare,Total,2000,14163
327,95,Guaviare,Total,2001,14392
360,95,Guaviare,Total,2002,14596
393,95,Guaviare,Total,2003,14761
426,95,Guaviare,Total,2004,14918
459,95,Guaviare,Total,2005,14991
492,95,Guaviare,Total,2006,15157
525,95,Guaviare,Total,2007,15388
558,95,Guaviare,Total,2008,15708
591,95,Guaviare,Total,2009,16090
624,95,Guaviare,Total,2010,16590
657,95,Guaviare,Total,2011,17163
690,95,Guaviare,Total,2012,17828
723,95,Guaviare,Total,2013,18597
756,95,Guaviare,Total,2014,19452
789,95,Guaviare,Total,2015,20386
822,95,Guaviare,Total,2016,21453
855,95,Guaviare,Total,2017,22634
888,95,Guaviare,Total,2018,23970
921,95,Guaviare,Total,2019,24958
954,95,Guaviare,Total,2020,25938
987,95,Guaviare,Total,2021,26920
1020,95,Guaviare,Total,2022,27944
1053,95,Guaviare,Total,2023,29017
1086,95,Guaviare,Total,2024,30342
30,95,Guaviare,Total,Unnamed: 0,90
64,97,Vaupés,Total,1993,2617
97,97,Vaupés,Total,1994,2739
130,97,Vaupés,Total,1995,2869
163,97,Vaupés,Total,1996,2979
196,97,Vaupés,Total,1997,3076
229,97,Vaupés,Total,1998,3161
262,97,Vaupés,Total,1999,3230
295,97,Vaupés,Total,2000,3307
328,97,Vaupés,Total,2001,3381
361,97,Vaupés,Total,2002,3443
394,97,Vaupés,Total,2003,3513
427,97,Vaupés,Total,2004,3590
460,97,Vaupés,Total,2005,3664
493,97,Vaupés,Total,2006,3790
526,97,Vaupés,Total,2007,3936
559,97,Vaupés,Total,2008,4122
592,97,Vaupés,Total,2009,4324
625,97,Vaupés,Total,2010,4554
658,97,Vaupés,Total,2011,4819
691,97,Vaupés,Total,2012,5090
724,97,Vaupés,Total,2013,5376
757,97,Vaupés,Total,2014,5657
790,97,Vaupés,Total,2015,5965
823,97,Vaupés,Total,2016,6259
856,97,Vaupés,Total,2017,6575
889,97,Vaupés,Total,2018,6959
922,97,Vaupés,Total,2019,7435
955,97,Vaupés,Total,2020,7938
988,97,Vaupés,Total,2021,8446
1021,97,Vaupés,Total,2022,8978
1054,97,Vaupés,Total,2023,9513
1087,97,Vaupés,Total,2024,10004
31,97,Vaupés,Total,Unnamed: 0,93
65,99,Vichada,Total,1993,10086
98,99,Vichada,Total,1994,10501
131,99,Vichada,Total,1995,10877
164,99,Vichada,Total,1996,11275
197,99,Vichada,Total,1997,11654
230,99,Vichada,Total,1998,12024
263,99,Vichada,Total,1999,12389
296,99,Vichada,Total,2000,12761
329,99,Vichada,Total,2001,13117
362,99,Vichada,Total,2002,13496
395,99,Vichada,Total,2003,13883
428,99,Vichada,Total,2004,14294
461,99,Vichada,Total,2005,14733
494,99,Vichada,Total,2006,15226
527,99,Vichada,Total,2007,15743
560,99,Vichada,Total,2008,16310
593,99,Vichada,Total,2009,16877
626,99,Vichada,Total,2010,17524
659,99,Vichada,Total,2011,18196
692,99,Vichada,Total,2012,18909
725,99,Vichada,Total,2013,19671
758,99,Vichada,Total,2014,20502
791,99,Vichada,Total,2015,21405
824,99,Vichada,Total,2016,22399
857,99,Vichada,Total,2017,23527
890,99,Vichada,Total,2018,24837
923,99,Vichada,Total,2019,26059
956,99,Vichada,Total,2020,27200
989,99,Vichada,Total,2021,28166
1022,99,Vichada,Total,2022,29076
1055,99,Vichada,Total,2023,29967
1088,99,Vichada,Total,2024,30869
32,99,Vichada,Total,Unnamed: 0,96
